House ID,Number of Bedrooms,Number of Bathrooms,Area (m2),Zip Code,Price
284,4,3,3010,92880,525000
285,5,5,3816,92880,589900
286,2,2,1152,92276,96900
287,2,1.5,1800,92276,163000
288,2,2,2036,92276,175000
289,2,2,1344,92276,98000
290,2,1,1100,92276,36000
291,2,2,1248,92276,115000
292,2,2,1380,92276,125000
293,2,2,960,92276,100000
294,3,2,1368,92276,193000
295,3,2,2788,92276,385000
296,5,3.25,3149,92880,515000
297,4,5,3834,92880,530000
298,5,3,3767,92880,567000
299,5,3.5,3149,92880,500000
300,5,4,3565,92880,537000
301,6,3.5,3615,92880,647000
302,5,5,4014,92880,542000
303,5,5,3834,92880,565000
304,4,3,3572,92880,535000
305,4,3,2870,92880,489000
306,4,3,2570,92880,510000
307,4,2.5,2285,93510,560000
308,3,2,2691,93510,675000
309,3,2.5,2490,93510,450000
310,3,2,2160,93510,409900
311,3,2.5,2326,93510,553000
312,3,2.5,2260,93510,470000
313,3,1,1337,93510,335000
314,2,1,884,93510,400000
315,4,3,2987,93510,615000
316,3,2,1476,93510,485000
317,5,3,2983,93510,479000
318,5,4,3198,93510,695000
319,3,2,1236,93510,221000
320,4,2,1797,93510,450000
321,3,2,1404,93510,195000
322,3,2,1248,93510,240000
323,5,3,3167,93510,599900
324,6,4,3705,93510,765000
325,4,2.5,2362,93510,539900
326,4,2,2252,93510,585000
327,3,2,2752,93510,570000
328,4,2,2160,93510,384000
329,3,4,3312,93510,759000
330,3,2,2315,93510,499000
331,2,2,1344,92276,154900
332,2,2,1820,92276,225000
333,2,2,1152,92276,138500
334,2,2,1440,92276,97500
335,2,2,2015,92276,219000
336,2,2,1248,92276,103500
337,2,2,1598,92276,136900
338,2,2,1176,92276,135000
339,2,2.5,960,92276,135000
340,3,2,1482,92276,158888
341,2,2,1152,92276,74900
342,2,2,1344,92276,69900
343,3,2,1248,92276,139500
344,3,2,1478,92276,219900
345,2,2,1152,92276,99900
346,2,2,1040,92276,59900
347,2,2,1000,92276,118900
348,2,2,1440,92276,106000
349,2,2,1344,92276,67500
350,2,2,1640,92276,104950
351,2,2,1578,92276,97000
352,2,2,1512,92276,98900
353,2,2,1152,92276,99900
354,2,1.5,1056,92276,79900
355,2,2,1930,92276,164900
356,2,2,1240,92276,117000
357,4,2,1866,92276,256000
358,2,2,960,92276,61000
359,2,2,1388,92276,167400
360,2,2,1152,92276,97500
361,2,1,960,92276,63500
362,3,2,1200,92276,225000
363,2,2,1440,92276,77000
364,2,2,1248,92276,114500
365,2,2,1152,92276,96500
366,2,2,960,92276,79900
367,3,2,1397,92276,248500
368,2,2,1248,92276,117500
369,2,2,1248,92276,79900
370,2,2,1344,92276,84900
371,2,2,1440,92276,84900
372,3,2.5,2644,92276,379500
373,2,2,1020,92276,74900
374,2,2,1600,92276,147000
375,2,2,2024,92276,214900
376,2,1,780,92276,67900
377,3,2,1397,92276,199000
378,2,2,1544,92276,124900
379,2,2,1368,92276,69800
380,2,2,1624,92276,185000
381,1,1.5,1440,92276,87500
382,2,2,1840,92276,160000
383,3,2,1454,92276,122500
384,2,2,1040,92276,67900
385,2,2,1281,92276,139000
386,2,2,1152,92276,84900
387,2,2,1152,92276,99000
388,2,2,1536,92276,69900
389,2,1,960,92276,49900
390,2,2,1440,92276,154500
391,2,2,1344,92276,129900
392,3,2,1507,92276,235000
393,3,2,1766,92276,129000
394,2,2,1440,92276,83900
395,2,2,1940,92276,129500
396,3,2,2971,93446,2395000
397,2,2,1468,92276,125000
398,2,3,1280,92276,69900
399,2,2,960,92276,69500
400,2,2,1640,92276,79500
401,2,2,1056,92276,68500
402,2,2,1344,92276,117500
403,3,2,1806,92276,179000
404,2,2,1344,92276,89500
405,2,2,1120,92276,72000
406,2,2,1344,92276,104900
407,3,2,1376,92276,174900
408,3,2,1440,92276,169900
409,2,2,1486,92276,154000
410,3,2,1560,92276,189000
411,2,2,1440,92276,62500
412,2,2,1722,92276,174500
413,2,2,1344,92276,139000
414,2,2,1248,92276,50000
415,2,2,1440,92276,94900
416,2,2,1020,92276,42900
417,2,1,1000,92276,67000
418,2,2,1440,92276,99900
419,2,2,1680,92276,69500
420,2,2,1440,92276,99000
421,2,2,1440,92276,110000
422,4,3,2454,93510,5858000
423,3,2,2346,93510,557000
424,4,4,3254,93510,674900
425,3,2,1448,93510,349000
426,3,2,1734,93510,265000
427,4,3.5,3381,93510,725000
428,4,2,2272,93510,559000
429,3,2,3326,93510,549000
430,3,2,1508,93510,449000
431,4,3,3631,93510,699900
432,3,2.5,2824,93510,569000
433,4,2,1966,93510,530000
434,3,2,1387,93510,395000
435,3,3,2522,93510,705000
436,3,2,2095,93510,479000
437,3,2,1932,93510,309900
438,4,3,3624,93510,698777
439,3,3,2848,93510,547900
440,3,2,1152,93510,425000
441,4,3,1625,93510,639000
442,4,2,1717,93510,494000
443,4,4,3220,93510,699000
444,5,3.5,3342,93510,639000
445,3,3,2800,93510,630000
446,3,3,2362,93510,541000
447,3,2,2061,93510,529000
448,4,4,3522,93510,680000
449,2,1,1320,93510,520000
450,3,3,2356,93510,710000
451,3,3,2808,93510,599999
452,2,2,1059,93510,445000
453,4,3,2774,93510,599500
454,3,2.5,1991,93510,515000
455,4,4,3030,93510,759000
456,4,2,1916,93510,549950
457,6,5,4090,93510,859000
458,3,2,1400,93446,139900
459,3,2,1939,93446,575000
460,4,3,2118,93446,489900
461,3,2,1940,93446,530000
462,10,6,4188,93446,629000
463,3,1.5,1080,93446,325000
464,3,2,1170,93446,235000
465,3,3,2390,93446,769000
466,3,2,1469,93446,299900
467,4,3,1496,93446,515000
468,4,2.5,2699,93446,629000
469,3,3,2136,93446,689000
470,5,2,2544,93446,599000
471,4,3.5,2090,93446,499000
472,2,2,1248,93446,175000
473,4,4,4600,93446,1250000
474,3,2,1712,93446,310000
475,3,2,1920,93446,625000
476,3,2,1705,93446,499500
477,2,2,1742,93446,975000
478,4,3.5,3101,93446,895000
479,2,2,1056,93446,179900
480,2,2,1190,93446,739900
481,3,2,1410,93446,330000
482,3,2,1822,93446,510000
483,3,2,2198,93446,625000
484,2,2,1088,93446,280000
485,2,2,1088,93446,265000
486,6,5.5,5000,93446,2200000
487,2,2,1088,93446,275000
488,2,2,900,93446,125000
489,2,2,1538,93446,699500
490,3,2,1640,93446,425000
491,3,2,2108,93446,439000
492,2,1,854,93446,179000
493,4,3,2617,93446,579500
494,6,4.5,4386,93446,759000
495,3,2,1570,93446,435000
496,2,2,1257,93446,380000
497,4,2,2072,93446,429900
498,2,2,2213,93446,585000
499,3,2.5,1500,93446,319000
500,4,4,3000,93446,1495000
501,3,2,2330,93446,599900
502,3,2.5,1339,93446,344900
503,3,2,1472,93446,309995
504,4,4,2681,93446,572000
505,3,2.5,1935,92802,695000
506,3,2,1471,92802,525000
507,3,2,1248,92802,78000
508,3,1.5,1214,92802,424900
509,4,3,1882,92802,825000
510,2,2.5,987,92802,475000
511,4,3,1606,92802,850000
512,3,2.5,1554,92802,409900
513,3,2.5,1717,92802,540000
514,4,2,1475,94531,385000
515,3,2,1052,94531,195000
516,4,3,2353,94531,458000
517,4,2.5,2422,94531,468000
518,3,2.5,2650,94531,458000
519,4,2.5,1831,94531,389000
520,4,2,2334,94531,460000
521,5,3,2179,94531,430000
522,4,2.5,1662,94531,329900
523,4,3,1765,94531,349900
524,3,2,2012,94531,454999
525,7,4,3871,94531,569950
526,5,3,3679,94531,525000
527,4,2.5,1794,94531,380000
528,4,3.5,3420,94531,550000
529,4,3,2506,94531,449950
530,4,2.5,2236,94531,495000
531,5,2,2066,94531,399900
532,4,3.5,9536,94531,460000
533,3,2,2014,94531,407000
534,4,3,2312,94531,419000
535,5,3,3796,94531,615000
